fold,ticker,common_score,common_label,selection_reason,selected,rank,agent,agent_score,agent_label,has_explainer,explanation_text,favor_factors,contra_factors,top_drivers_json
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,fundamental,0.443,Underperform,False,NUE — Score: 0.44 (Underperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,valuation,0.5975,Outperform,False,NUE — Score: 0.60 (Outperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,momentum,0.5982,Outperform,False,NUE — Score: 0.60 (Outperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,bear,0.3474,Underperform,False,NUE — Score: 0.35 (Underperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,sentiment,0.4125,Underperform,False,NUE — Score: 0.41 (Underperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,sector_rotation,0.7917,Outperform,False,NUE — Score: 0.79 (Outperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,NUE,0.8326,Outperform,selected_above_threshold,True,1,meta_learner,0.8326,Outperform,False,NUE — Score: 0.83 (Outperform) (Rule-based explanation — install shap for full analysis) + Revenue growth (revenue_yoy_growth=1.72),"Crecimiento de ingresos=1.716, MSPR positivo=20.340",,"[{""feature"": ""revenue_yoy_growth"", ""description"": ""Crecimiento de ingresos"", ""shap_value"": 0.0, ""raw_value"": 1.7162421727719237, ""direction"": ""positive""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 20.340335999999997, ""direction"": ""positive""}]"
2025Q1,CZR,0.7965,Outperform,selected_above_threshold,True,5,fundamental,0.4073,Underperform,False,CZR — Score: 0.41 (Underperform) (Rule-based explanation — install shap for full analysis) - Liquidity risk (current_ratio=0.84) - RSI overbought (rsi_14=74.87),"MSPR positivo=89.071, Balance neto insider positivo=0.265","Riesgo de liquidez=0.838, RSI sobrecomprado=74.867","[{""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.8381120423467138, ""direction"": ""negative""}, {""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 74.86661867836679, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.07103666666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2648848944110848, ""direction"": ""positive""}]"
2025Q1,CZR,0.7965,Outperform,selected_above_threshold,True,5,valuation,0.522,Outperform,False,CZR — Score: 0.52 (Outperform) (Rule-based explanation — install shap for full analysis) - Liquidity risk (current_ratio=0.84) - RSI overbought (rsi_14=74.87),"MSPR positivo=89.071, Balance neto insider positivo=0.265","Riesgo de liquidez=0.838, RSI sobrecomprado=74.867","[{""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.8381120423467138, ""direction"": ""negative""}, {""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 74.86661867836679, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.07103666666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2648848944110848, ""direction"": ""positive""}]"
2025Q1,CZR,0.7965,Outperform,selected_above_threshold,True,5,momentum,0.7211,Outperform,False,CZR — Score: 0.72 (Outperform) (Rule-based explanation — install shap for full analysis) - Liquidity risk (current_ratio=0.84) - RSI overbought (rsi_14=74.87),"MSPR positivo=89.071, Balance neto insider positivo=0.265","Riesgo de liquidez=0.838, RSI sobrecomprado=74.867","[{""feature"": ""current_ratio"", ""description"": ""Riesgo de liquidez"", ""shap_value"": 0.0, ""raw_value"": 0.8381120423467138, ""direction"": ""negative""}, {""feature"": ""rsi_14"", ""description"": ""RSI sobrecomprado"", ""shap_value"": 0.0, ""raw_value"": 74.86661867836679, ""direction"": ""negative""}, {""feature"": ""mspr_3m"", ""description"": ""MSPR positivo"", ""shap_value"": 0.0, ""raw_value"": 89.07103666666667, ""direction"": ""positive""}, {""feature"": ""insider_net_ratio_90d"", ""description"": ""Balance neto insider positivo"", ""shap_value"": 0.0, ""raw_value"": 0.2648848944110848, ""direction"": ""positive""}]"
